"Aujourd'hui c'est pour elle",Today is her treat
Acun problème pour elle,No problem for her
Autant pour elle,That was her mistake
"Assez, elle a dit","Enought, she said"
"à vrai dire, elle a complètement oublié","To tell the truth, she completely forgot"
Elle ne le leur dirait pas,She wouldn't tell it to them
Ce n'est pas bon pour elle,It is not ok with her
Elle a besoin d'aller aux toilettes,Does she need to go to the restroom
Elle a soif,Is she thirsty
Elle est fatiguée,Is she tired
Elle a mal aux pieds,Are her feet hurting
Elle peux encore marcher,Can she still walk
Elle a pris ses affaires,Did she take her things
Elle veut prendre son sac,Does she want to take her bag
Elle veut mettre son écharpe,Does she want to put her scarf
Elle peut mettre son blouson,Does she want to put her coat on
Elle est prete,Is she ready
Elle sais où sont ses habits,Does she know where are her clothes
Elle va s'habiller,Is she going to dress up
Elle veut aller regarder qulque chose,Does she want to go and see something
Elle veut aller se promener,Does she want to go outside to take a walk
Pomme,Apple
Bon sfe,efew
fd,fs
