tête,head
voix,voice
main,hand
œil,eye
esprit,mind
sein,bosom
cœur,heart
pied,foot
langue,tongue
sang,blood
bras,arm
visage,face
côte,rib
dos,back
front,forehead
figure,face
bouche,mouth
oreille,ear
doigt,finger
cerveau,brain
peau,skin
cheveu,hair
sac,sac
organe,organ
jambe,leg
épaule,shoulder
nez,nose
tissu,tissue
dent,tooth
cadavre,corpse
lèvre,lip
cul,ass
genou,knee
gueule,mouth
ventre,belly
chair,flesh
pouce,thumb
cou,neck
poing,fist
joue,cheek
os,bone
poitrine,breast
gorge,throat
crâne,skull
coude,elbow
poumon,lung
poil,hair
foie,liver
talon,heel
barbe,beard
veine,vein
cuisse,thigh
rein,kidney
muscle,muscle
fesse,buttock
estomac,stomach
ongle,fingernail
cheville,ankle
sourcil,eyebrow
moustache,moustache
hormone,hormone
tumeur,tumor
