bas,stockings
complet,suit
poche,pocket
vêtement,garment
robe,dress
chapeau,hat
manche,sleeve
chaussure,shoe
manteau,coat
chemise,shirt
bouton,button
ceinture,belt
pantalon,trousers
botte,boot
gant,glove
maillot,jersey
veste,jacket
jupe,skirt
mouchoir,handkerchief
cravate,necktie
foulard,scarf
habillement,clothing
vestiaire,cloakroom
bonnet,bonnet
blouse,blouse
lingerie,lingerie
tablier,apron
bague,ring
sabot,clog
bretelles,suspenders
veston,jacket
tee-shirt,T-shirt
t-shirt,T-shirt
slip,underpants
badge,badge
