eau,water
fruit,fruit
poisson,fish
café,coffee
plat,dish
nourriture,food
vin,wine
restaurant,restaurant
huile,oil
dîner,dinner
tabac,tobacco
alcool,alcohol
lait,milk
glace,ice
cuisine,cooking
viande,meat
œuf,egg
tranche,slice
déjeuner,lunch
pain,bread
aliment,food
pomme,apple
cigarette,cigarette
repas,meal
bouteille,bottle
bar,bar
légume,vegetable
bière,beer
sucre,sugar
blé,wheat
spécialité,specialty
menu,menu
thé,tea
liquide,liquid
herbe,herb
pâte,pasta
baie,berry
orange,orange
bœuf,beef
porc,pork
beurre,butter
mouton,sheep
poulet,chicken
sel,salt
poule,hen
fromage,cheese
chocolat,chocolate
soupe,soup
crème,cream
gâteau,cake
céréale,cereal
cocktail,cocktail
riz,rice
