or,gold
argent,money
papier,paper
fer,iron
pierre,stone
pétrole,crude oil
plastique,plastic
huile,oil
tissu,fabric
métal,metal
uranium,uranium
charbon,coal
matériau,material
acier,steel
carton,cardboard
béton,concrete
plomb,lead
bijou,jewel
boue,mud
coton,cotton
diamant,diamond
textile,textile
plutonium,plutonium
caoutchouc,rubber
marbre,marble
ciment,cement
soie,silk
brique,brick
cuivre,copper
cristal,crystal
aluminium,aluminium
perle,perl
ivoire,ivory
paille,straw
radium,radium
granit,granite
