monde,world
courant,current
nature,nature
passage,passage
feu,fire
mer,sea
lumière,light
île,island
côte,coast
réflexion,reflection
bois,wood
sol,ground
forêt,forest
massif,massif
chute,fall
pierre,stone
planète,planet
pointe,point
canal,canal
arbre,tree
branche,branch
satellite,satellite
rivière,river
fleur,flower
continent,continent
écho,echo
électricité,electricity
flux,flow
racine,root
plante,plant
étoile,star
plateau,plateau
vallée,valley
pente,slope
fleuve,river
colline,hill
bassin,basin
col,mountain
souffle,breath
lac,lake
montée,ascent
poussière,dust
sable,sand
rive,shore
lune,moon
quai,embankment
cap,cape
baie,bay
banc,bench
golfe,gulf
gorge,gorge
boue,mud
jungle,jungle
plaine,plain
