ministre,minister
président,president
chef,leader
aide,aide
cadre,executive
directeur,director
sénateur,senator
financier,financier
militaire,military
auteur,author
autorité,authority
médecin,physician
garde,guard
critique,critic
client,client
soldat,soldier
professeur,professor
avocat,lawyer
religieux,religious
représentant,representative
producteur,producer
facteur,mailman
juge,judge
candidat,candidate
journaliste,journalist
travailleur ,worker
dirigeant,leader
propriétaire,owner
criminel,criminal
leader,leader
interne,intern
acteur,actor
fonctionnaire,public
patron,boss
porte-parole,spokesperson
commissaire,commissioner
écrivain,writer
vice-président,vice-president
artiste,artist
ouvrier,worker
maire,mayor
gardien,guardian
électeur,elector
chercheur,researcher
officier,officer
infirmier,nurse
gouverneur,governor
lecteur,reader
marin,sailor
salarié,employee
docteur,doctor
