jeu,game
but,goal
lutte,wrestling
équipe,team
course,race
exercice,exercise
pêche,fishing
stade,stadium
joueur,player
sport,sport
chasse,hunting
champion,champion
football,soccer
chasseur,hunter
championnat,championship
tournoi,tournament
ballon,ball
saut,jump
tennis,tennis
gagnant,winner
perdant,loser
ski,ski
boule,bowling
golf,golf
piscine,pool
hockey,hockey
foot,soccer
rugby,rugby
basket,basketball
plongée,diving
base-ball,baseball
marathon,marathon
athlétisme,athletics
coéquipier,teammate
gymnase,gymnasium
coach,coach
boxe,boxing
footballeur,soccer player
slalom,slalom
ring,boxing ring
natation,swimming
patin,skate
