temps,time
période,period
date,date
étape,stage
quotidien,daily
durée,duration
fête,holiday
délai,delay
phase,phase
anniversaire,birthday
enfance,childhood
congé,day off
week-end,weekend
loisir,leisure
calendrier,calendar
horaire,timetable
intervalle,interval
vieillesse,old age
seconde,second
instant,instant
moment,moment
minute,minute
demi-heure,half an hour
heure,hour
jour,day
semaine,week
mois,month
an,year
année,year
décennie,decade
vie,life
siècle,century
époque,era
ère,era
aube,dawn
matin,morning
matinée,morning
journée,day
midi,noon
après-midi,afternoon
soir,evening
soirée,evening
veille,eve of
nuit,night
minuit,midnight
lendemain,next day
histoire,history
passé,past
présent,present
immédiat,immediate
aujourd'hui,today
demain,tomorrow
futur,future
avenir,future
printemps,springtime
été,summer
automne,autumn
hiver,winter
saison,season
janvier,January
février,February
mars,March
avril,April
mai,May
juin,June
juillet,July
août,August
septembre,September
octobre,October
novembre,November
décembre,December
lundi,Monday
mardi,Tuesday
mercredi,Wednesday
jeudi,Thursday
vendredi,Friday
samedi,Saturday
dimanche,Sunday
